epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,173.492,1.12234,0.75417,1.09462,0.88894,0.90643,0.90143,0.56752,1.40409,0.86759,1.16917,0.000990365,0.000990365,0.000990365
43,177.254,1.0933,0.76186,1.09652,0.91038,0.8717,0.90764,0.55994,1.42448,0.86337,1.15961,0.000973861,0.000973861,0.000973861
44,181.164,1.10384,0.78026,1.07073,0.9375,0.88007,0.89567,0.55916,1.4357,0.86772,1.15605,0.000957358,0.000957358,0.000957358
45,184.825,1.09486,0.75695,1.0938,0.91387,0.88234,0.88964,0.53892,1.40847,0.87134,1.1474,0.000940855,0.000940855,0.000940855
46,188.661,1.10717,0.76324,1.0888,0.91886,0.87428,0.89289,0.5657,1.42576,0.85947,1.14089,0.000924352,0.000924352,0.000924352
47,192.382,1.12004,0.75889,1.09266,0.92561,0.87998,0.89311,0.55679,1.43488,0.84778,1.14877,0.000907848,0.000907848,0.000907848
48,196.544,1.05773,0.73645,1.08282,0.91088,0.88488,0.88795,0.55968,1.38264,0.83898,1.12048,0.000891345,0.000891345,0.000891345
49,200.19,1.13039,0.74619,1.08829,0.89446,0.90152,0.89523,0.56549,1.36504,0.81329,1.11992,0.000874842,0.000874842,0.000874842
50,204.104,1.11917,0.72966,1.08968,0.91893,0.91246,0.89224,0.57552,1.32695,0.78111,1.08245,0.000858338,0.000858338,0.000858338
51,207.927,1.06026,0.73455,1.06657,0.91846,0.88602,0.89189,0.56766,1.36227,0.78563,1.10461,0.000841835,0.000841835,0.000841835
52,211.809,1.09545,0.7289,1.08425,0.92413,0.89837,0.89958,0.58443,1.35179,0.78883,1.11335,0.000825332,0.000825332,0.000825332
53,215.675,1.05623,0.70029,1.08603,0.91362,0.90643,0.90567,0.59143,1.3199,0.78729,1.10958,0.000808828,0.000808828,0.000808828
54,219.507,1.05437,0.70591,1.07384,0.90531,0.91246,0.89868,0.58567,1.33873,0.78631,1.1065,0.000792325,0.000792325,0.000792325
55,223.253,1.08517,0.68966,1.0761,0.90973,0.91246,0.89755,0.56378,1.40966,0.78184,1.12698,0.000775822,0.000775822,0.000775822
56,227.026,1.05974,0.69414,1.057,0.9292,0.90065,0.8944,0.5634,1.36775,0.759,1.12415,0.000759318,0.000759318,0.000759318
57,230.804,1.04279,0.68162,1.05919,0.93417,0.89572,0.89424,0.55619,1.38969,0.76398,1.13904,0.000742815,0.000742815,0.000742815
58,234.623,1.01677,0.65821,1.04395,0.92711,0.90041,0.88893,0.54479,1.41887,0.75809,1.13992,0.000726312,0.000726312,0.000726312
59,238.5,1.03731,0.67378,1.05001,0.93463,0.91246,0.90088,0.56521,1.33232,0.73947,1.11113,0.000709809,0.000709809,0.000709809
60,242.521,1.06902,0.68854,1.05328,0.9128,0.92451,0.90667,0.56439,1.39176,0.72978,1.11979,0.000693305,0.000693305,0.000693305
61,246.149,1.02855,0.68603,1.06961,0.9302,0.90643,0.90112,0.57769,1.3799,0.74459,1.10558,0.000676802,0.000676802,0.000676802
62,249.992,1.00626,0.67272,1.0381,0.92933,0.91848,0.90715,0.57908,1.33928,0.75823,1.10064,0.000660299,0.000660299,0.000660299
63,253.868,1.01833,0.66743,1.02019,0.92131,0.90041,0.91363,0.58397,1.32234,0.75607,1.11098,0.000643795,0.000643795,0.000643795
64,257.533,1.00483,0.69378,1.04636,0.9265,0.85643,0.89439,0.57085,1.36569,0.76318,1.13881,0.000627292,0.000627292,0.000627292
65,261.324,0.96665,0.64807,1.04848,0.90849,0.88765,0.89637,0.57213,1.34676,0.74411,1.14297,0.000610789,0.000610789,0.000610789
66,265.051,1.01358,0.66537,1.05051,0.93146,0.88397,0.89394,0.5691,1.33517,0.74437,1.13625,0.000594286,0.000594286,0.000594286
67,268.937,0.95041,0.62003,1.01073,0.92113,0.88749,0.89576,0.5657,1.378,0.75262,1.14298,0.000577782,0.000577782,0.000577782
68,273.177,0.99486,0.63405,1.02975,0.93841,0.88234,0.90577,0.57813,1.36835,0.73541,1.13622,0.000561279,0.000561279,0.000561279
69,277.285,0.99729,0.62342,1.02348,0.93565,0.89439,0.90747,0.59221,1.34493,0.7075,1.10335,0.000544776,0.000544776,0.000544776
70,281.085,1.0119,0.65206,1.06248,0.90847,0.91848,0.90265,0.56656,1.37521,0.71247,1.10337,0.000528272,0.000528272,0.000528272
71,284.978,0.93805,0.60775,1.01971,0.92108,0.91141,0.90553,0.57463,1.38851,0.72914,1.10268,0.000511769,0.000511769,0.000511769
72,288.757,1.00727,0.63981,1.03386,0.90042,0.89439,0.89923,0.57927,1.34887,0.73398,1.09396,0.000495266,0.000495266,0.000495266
73,292.586,0.9577,0.61372,1.02743,0.90335,0.91246,0.90049,0.58168,1.29251,0.72241,1.0872,0.000478762,0.000478762,0.000478762
74,296.598,0.93318,0.58917,1.02027,0.90465,0.92615,0.90568,0.57643,1.34444,0.71191,1.11637,0.000462259,0.000462259,0.000462259
75,300.47,0.89926,0.59513,0.99471,0.92149,0.93053,0.89948,0.56679,1.36576,0.7153,1.1354,0.000445756,0.000445756,0.000445756
76,304.367,0.95843,0.61169,1.03365,0.91353,0.91989,0.90173,0.56149,1.35685,0.7111,1.12997,0.000429253,0.000429253,0.000429253
77,308.292,0.95945,0.6168,1.01393,0.93747,0.90461,0.90251,0.56058,1.37016,0.71286,1.15155,0.000412749,0.000412749,0.000412749
78,312.239,0.94229,0.60609,1.02254,0.91844,0.91848,0.90473,0.57623,1.37611,0.7191,1.1489,0.000396246,0.000396246,0.000396246
79,316.488,0.91997,0.58685,1.02128,0.89902,0.93053,0.89449,0.56466,1.39177,0.71908,1.13406,0.000379743,0.000379743,0.000379743
80,320.15,0.92788,0.60114,1.0304,0.91025,0.90643,0.89217,0.54985,1.43694,0.73192,1.15321,0.000363239,0.000363239,0.000363239
81,324.019,0.90239,0.58761,0.99446,0.92073,0.90427,0.90052,0.55615,1.41003,0.71575,1.15696,0.000346736,0.000346736,0.000346736
